epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,360.97,1.39102,1.70482,0.01105,0.37705,0.40973,0.37215,0.21401,1.83932,2.36036,0.02156,0.000113873,0.000113873,0.000113873
81,364.571,1.47101,1.76747,0.01347,0.37669,0.42086,0.3679,0.21018,1.83868,2.37791,0.02163,0.000104537,0.000104537,0.000104537
82,368.276,1.46957,1.90903,0.01247,0.40867,0.42244,0.36764,0.20487,1.85164,2.3927,0.02164,9.55951e-05,9.55951e-05,9.55951e-05
83,372.365,1.44677,1.7622,0.01201,0.39713,0.43464,0.36368,0.19719,1.87116,2.39217,0.02167,8.70577e-05,8.70577e-05,8.70577e-05
84,377.269,1.31467,1.68928,0.0117,0.37494,0.43101,0.36072,0.19707,1.88695,2.38267,0.02185,7.89327e-05,7.89327e-05,7.89327e-05
85,380.844,1.40119,1.70023,0.01292,0.37995,0.4435,0.36339,0.19893,1.87737,2.40651,0.02168,7.12282e-05,7.12282e-05,7.12282e-05
86,384.519,1.34427,1.73221,0.01231,0.37246,0.44496,0.37303,0.20241,1.87075,2.38855,0.02165,6.39518e-05,6.39518e-05,6.39518e-05
87,389.388,1.44686,1.71915,0.0121,0.36739,0.4582,0.37363,0.20527,1.86999,2.36068,0.02158,5.71106e-05,5.71106e-05,5.71106e-05
88,393.628,1.38721,1.66295,0.01192,0.37861,0.47761,0.38061,0.21049,1.8667,2.32385,0.02154,5.07115e-05,5.07115e-05,5.07115e-05
89,397.287,1.36237,1.84952,0.01298,0.40253,0.47545,0.38133,0.21057,1.87112,2.32945,0.02144,4.47606e-05,4.47606e-05,4.47606e-05
90,400.906,1.42635,1.75385,0.01367,0.38622,0.45698,0.37769,0.21184,1.87566,2.34523,0.02153,3.9264e-05,3.9264e-05,3.9264e-05
91,408.027,1.43699,1.73304,0.01723,0.32475,0.46382,0.36886,0.20242,1.89534,2.39201,0.02206,3.4227e-05,3.4227e-05,3.4227e-05
92,411.597,1.47657,1.77191,0.01884,0.34092,0.49195,0.35544,0.1896,1.93313,2.43086,0.02232,2.96546e-05,2.96546e-05,2.96546e-05
93,415.157,1.40662,1.595,0.01609,0.32722,0.48461,0.34671,0.18427,1.93724,2.47451,0.02201,2.55513e-05,2.55513e-05,2.55513e-05
94,420.244,1.43341,1.60505,0.01554,0.30187,0.48146,0.34325,0.18261,1.92942,2.50091,0.02198,2.19212e-05,2.19212e-05,2.19212e-05
95,423.852,1.37283,1.6599,0.0151,0.32048,0.48731,0.34472,0.18428,1.92891,2.50275,0.02182,1.87678e-05,1.87678e-05,1.87678e-05
96,427.356,1.44158,1.63526,0.0183,0.2909,0.47975,0.34398,0.17893,1.92642,2.53439,0.02169,1.60943e-05,1.60943e-05,1.60943e-05
97,430.938,1.35984,1.73126,0.01598,0.31824,0.45813,0.3448,0.17987,1.91355,2.51522,0.0215,1.39032e-05,1.39032e-05,1.39032e-05
98,436.211,1.41792,1.56706,0.01975,0.32498,0.43481,0.34225,0.17979,1.90608,2.52865,0.0213,1.21968e-05,1.21968e-05,1.21968e-05
99,439.668,1.41136,1.66532,0.01732,0.31162,0.45205,0.33865,0.17888,1.91685,2.51769,0.02136,1.09768e-05,1.09768e-05,1.09768e-05
